Timestamp, j0, j1, j2, j3
0.01,0.0,0.0,0.0,0.0
0.02,0.0,0.007116632510397851,0.004670528962248214,0.001995103206459548
0.03,0.0070001600469189445,0.0030680407322455586,0.00921942674965599,0.005791457232624524
0.04,0.01399255546398448,0.0012919175128273252,0.01111911995176865,0.007683771002399761
0.05,0.02097679056940776,-0.000118448445158888,0.01260686420339429,0.009235972458370233
0.06,0.027952498057350797,-0.0013278832579453584,0.013871521055207899,0.01059387976678865
0.07,0.034919314382461535,-0.002404422946816697,0.014990093965943583,0.011819915356237328
0.08,0.04187687892640588,-0.003384367744022077,0.016003297438296375,0.0129482508332598
0.09,0.04882483382366201,-0.00428988929999491,0.016935821675168147,0.014000173282046901
0.1,0.055762823943904576,-0.012748375847261347,0.025617560408771906,0.014990071449876559
0.11,0.056663843362771305,-0.01932387992919643,0.03273339617103475,0.02183961505900802
0.12,0.05756317981767521,-0.024181928628966398,0.03789721816748807,0.027132934126331977
0.13,0.05846082665807649,-0.028239336898790234,0.042167158982037344,0.031663263125592714
0.14,0.05935678025478923,-0.03180005843688972,0.04588888351779243,0.035705612402532436
0.15,0.06025103787372689,-0.03501234699490257,0.0492292713216431,0.039398139549016664
0.16,0.06114359721432734,-0.037962236460691086,0.05228440310439883,0.04282280151952331
0.17,0.06203445624198141,-0.040705074414724256,0.05511569420145461,0.04603324793760568
0.18,0.06292361311076165,-0.04327901632557523,0.05776525515674544,0.04906699634155974
0.19,0.06381106612218666,-0.04571171163299605,0.06026345999954352,0.05195156434956511
0.2,0.06469681370087947,-0.0480239690857681,0.06263307509004652,0.05470787840055614
0.21,0.06558085437907686,-0.05023192171322463,0.06489168744273915,0.05735231155138363
0.22,0.0664631867861714,-0.05234838134717394,0.06705321821469841,0.05989797200104152
0.23,0.06734380964130172,-0.05438372587139437,0.06912891066602052,0.06235555510115293
0.24,0.0682227217478843,-0.056346502601795585,0.07112799992118686,0.06473392770171797
0.25,0.06909992198943368,-0.058243851648710834,0.07305818155574707,0.06704054131972037
0.26,0.06997540932626763,-0.060081810940792076,0.07492594830726468,0.06928173191425124
0.27,0.07084918279283764,-0.06186554104201349,0.07673683763609691,0.07146294226362064
0.28,0.07172124149551296,-0.06359949415594104,0.07849561740007974,0.07358889013372917
0.29,0.0725915846107002,-0.0652875433913045,0.0802064275658171,0.0756636976170069
0.3,0.08127785233586206,-0.06693308315746622,0.08187289004833519,0.07769099210350726
0.31,0.08993185992610944,-0.06853846696573031,0.08349819081144387,0.07967377964303782
0.32,0.09855248973644366,-0.0701063630611378,0.0850851645527701,0.08161492812453755
0.33,0.10713865245534765,-0.07163915304706946,0.08663633711724235,0.08351700563935947
0.34,0.11568928768591419,-0.07313897334367389,0.08815397055451726,0.08538232289441973
0.35,0.12420336447157496,-0.0746077492360701,0.08964010006692329,0.08721296817791231
0.36,0.132679881766384,-0.07604722307065866,0.09109656456315297,0.0890108364207516
0.37,0.14111786885001543,-0.07745897778452858,0.09252503212000503,0.09077765353184843
0.38,0.14951638568783188,-0.07884445667921408,0.09392702135217947,0.0925149969166004
0.39,0.15787452323656084,-0.08020498014683007,0.09530391946602165,0.09422431288770985
0.4,0.16619140369628532,-0.08154175990398506,0.09665699760503206,0.0959069315264876
0.41,0.17446618070961226,-0.0828559111730099,0.09798742396754051,0.09756407943781423
0.42,0.18269803950903077,-0.08414846316121825,0.0992962750793869,0.09919689075348466
0.43,0.1908861970136031,-0.0854203681201903,0.10058454552906118,0.10080641667001063
0.44,0.1990299018762592,-0.08667250921343972,0.10185315641399259,0.10239363375321764
0.45,0.20712843448307583,-0.0879057073786334,0.10310296270050463,0.10395945119957452
0.46,0.21518110690602268,-0.08912072733709303,0.10433475966339588,0.10550471721049295
0.47,0.22318726281075255,-0.09031828287661553,0.10554928854195816,0.10703022460886145
0.48,0.23114627732108828,-0.09149904151220067,0.10674724152584629,0.1085367158053475
0.49,0.2390575568419319,-0.09266362861193252,0.107929266165315,0.11002488720438627
0.5,0.24692053884238077,-0.09381263106115584,0.10909596928498247,0.1114953931254118
0.51,0.25473469160088247,-0.09494660052655185,0.11024792046773131,0.11294884930311203
0.52,0.2624995139143045,-0.09606605637223187,0.11138565516505068,0.11438583602078453
0.53,0.2702145347728201,-0.09717148827212832,0.1125096774816124,0.11580690092283355
0.54,0.2778793130025373,-0.09826335855645378,0.11362046267481381,0.11721256154576101
0.55,0.2854934368778078,-0.09934210432457019,0.11471845940413694,0.11860330760141471
0.56,0.2930565237051578,-0.10040813935206205,0.1158040917602484,0.11997960304156549
0.57,0.3005682193807812,-0.10146185581598288,0.11687776109962604,0.12134188792893037
0.58,0.3080281979235217,-0.10250362585901339,0.11793984770700597,0.12269058013641379
0.59,0.31543616098525634,-0.10353380301053211,0.11899071230498591,0.12402607689349776
0.6,0.3227918373405675,-0.10455272348027018,0.12003069742760669,0.12534875619629077
0.61,0.3300949823575598,-0.10556070733823357,0.12106012867258911,0.12665897809567533
0.62,0.33734537745164617,-0.10655805959287372,0.12207931584506868,0.12795708587621746
0.63,0.3445428295240852,-0.10754507117802468,0.12308855400409469,0.12924340713697402
0.64,0.35168717038700903,-0.10852201985786442,0.12408812442180407,0.1305182547840141
0.65,0.3587782561766302,-0.10948917105806842,0.12507829546400845,0.13178192794332882
0.66,0.3658159667562712,-0.11044677863038027,0.1260593233999184,0.1330347128018134
0.67,0.3728002051107966,-0.11139508555700263,0.12703145314784736,0.1342768833831423
0.68,0.3797308967339774,-0.11233432460049805,0.1279949189629709,0.1355087022646063
